# Active MLB Players - 673 total
# Format: Player Name | FanGraphs ID

Joey Loperfido | 29630
Javier Sanoja | 28253
Casey Schmitt | 27577
Yoán Moncada | 17232
Chandler Simpson | 31912
Andruw Monasterio | 19455
Ronny Mauricio | 23698
Isiah Kiner-Falefa | 16512
Pavin Smith | 19892
Carter Jensen | 29478
Starling Marte | 9241
Eli White | 19346
Dylan Beavers | 31695
Derek Hill | 16947
Bryce Johnson | 20002
Matt Thaiss | 19318
Colton Cowser | 29591
Teoscar Hernández | 13066
Jasson Domínguez | 28080
Mickey Moniak | 19956
Bryce Teodosio | 29524
José Fermín | 21746
Max Kepler | 12144
Jonny DeLuca | 26365
Andrew Vaughn | 26197
Drew Millas | 25643
Michael Helman | 24605
Max Schuemann | 24488
Willi Castro | 17338
Connor Norby | 29592
Yordan Alvarez | 19556
Salvador Perez | 7304
Thomas Saggese | 27883
Christian Koss | 27653
Zach Cole | 31583
Alek Thomas | 23792
J.C. Escarra | 20084
Marcelo Mayer | 29668
Amed Rosario | 15518
Brenton Doyle | 25479
Johan Rojas | 24336
Blake Perkins | 19921
Sal Stewart | 31505
Mark Vientos | 22184
Brayan Rocchio | 23690
Dominic Smith | 15653
Andy Ibáñez | 18819
Brett Harris | 29788
Joey Wiemer | 27690
Luisangel Acuña | 26548
Ben Williamson | 33197
Elias Díaz | 11680
Kyren Paris | 26420
Garrett Mitchell | 27555
Tyler Tolbert | 25779
Dominic Fletcher | 26149
Kameron Misner | 26374
Brooks Lee | 31595
Jake Rogers | 19452
Nate Eaton | 25055
Eric Haase | 14111
Ryan Fitzgerald | 24622
Luke Maile | 13355
Brandon Lockridge | 21496
Carlos Santana | 2396
Jake Fraley | 19260
Jose Trevino | 16725
Ha-Seong Kim | 27506
Gavin Lux | 19955
Moisés Ballesteros | 28820
Miles Mastrobuoni | 20017
Alex Freeland | 31665
Rafael Marchán | 21646
Christian Vázquez | 9774
Taylor Walls | 22458
DJ LeMahieu | 9874
Coby Mayo | 28312
Yohel Pozo | 18848
Trevor Larnach | 21501
Parker Meadows | 23800
Andrew Knizner | 19514
Sam Haggerty | 18054
Dylan Crews | 33541
Christian Moore | 34979
Korey Lee | 25543
Troy Johnston | 26143
Nacho Alvarez Jr. | 31765
Andrew Benintendi | 17901
Luke Raley | 19354
Brewer Hicklen | 20450
Nathan Church | 31357
Ildemaro Vargas | 13324
Paul DeJong | 18015
C.J. Kayfus | 33704
Tommy Pham | 2967
Tomás Nido | 13755
David Hamilton | 27531
Tim Anderson | 15172
John Rave | 26284
Luis Urías | 16622
Tyler Fitzgerald | 26208
Ryan Ritter | 31500
Brice Matthews | 33280
Tristan Gray | 19877
Jhonny Pereda | 19802
Oswaldo Cabrera | 21707
Drew Gilbert | 31545
Brian Navarreto | 16398
Liover Peguero | 24273
Jerar Encarnacion | 21871
Richie Palacios | 24589
Enmanuel Valdez | 21716
Curtis Mead | 23986
Kevin Alcántara | 25971
Petey Halpin | 27931
Brett Sullivan | 18217
Bobby Dalbec | 19966
Zach Dezenzo | 31562
Trey Lipscomb | 31567
George Valera | 22541
Nick Loftin | 27630
Rowdy Tellez | 15679
Ryne Nelson | 26253
Josh Bell | 13145
Blake Dunn | 29487
Steward Berroa | 22766
Vidal Bruján | 20536
Owen Caissie | 27496
Zack Short | 19562
Victor Mesa Jr. | 25999
José Tena | 23691
Vimael Machín | 17684
Owen Miller | 24655
Esteury Ruiz | 21780
Logan Porter | 20626
Ryan Bliss | 29547
Luken Baker | 21497
